COUNT,House Amount (in thousands),Senate Amount (in thousands),Full-Year CR Amount (in thousands),Program Increase,Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Emergency Funding (Senate),Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,,"$ 19,100","$ 19,100",RC-135 modernization,,,,No,,,RC-135,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 9,200","$ 5,000","$ 9,200",T-38 ejection seat upgrade program,,,,Yes,,,T-38,"Aircraft Procurement, Air Force",Air Force,Procurement,
,,"$ 95,700",,LRASM (emergency),,,,No,INDOPACOM,Yes,LRASMO,"Missile Procurement, Air Force",Air Force,Procurement,
,,"$ 100,000",,Spares and repair parts,,,,No,,,Msl Sprs/Repair Parts (Replen),"Missile Procurement, Air Force",Air Force,Procurement,
,,"$ 201,980","$ 90,000","NASAMS, C-RAM, KuRFS (emergency)",,,,No,,Yes,Air Force Physical Security System,"Other Procurement, Air Force",Air Force,Procurement,
,,"$ 15,000",,Fighter force re-optimization (emergency),,,,No,Air Force,Yes,Base Maintenance and Support Equipment,"Other Procurement, Air Force",Air Force,Procurement,
,"$ 10,000",,"$ 10,000",Project Kinetic Cargo weigh-in-motion system,,,,Yes,,,Base Maintenance and Support Equipment,"Other Procurement, Air Force",Air Force,Procurement,
,,"$ 2,000","$ 2,000",Air National Guard modular indoor shooting range / Air National Guard modular indoor shooting ranges,,,,Yes,,,Base Procured Equipment,"Other Procurement, Air Force",Air Force,Procurement,
,,"$ 10,900",,Arctic storage equipment,,,,Yes,,,Base Procured Equipment,"Other Procurement, Air Force",Air Force,Procurement,
,,"$ 5,000",,Disaster relief mobile kitchen trailer,,,,No,,,Base Procured Equipment,"Other Procurement, Air Force",Air Force,Procurement,
,"$ 6,500",,,PACER FORGE infrastructure,,,,Yes,,,Base Procured Equipment,"Other Procurement, Air Force",Air Force,Procurement,
,$ 849,$ 849,$ 849,Program increase,,,,No,,,CAP Vehicles,"Other Procurement, Air Force",Air Force,Procurement,
,$ 43,$ 43,$ 43,Vehicles / F-35 future pilot training center vehicles,,,,No,,,Cargo and Utility Vehicles,"Other Procurement, Air Force",Air Force,Procurement,
,,,"$ 490,001",Classified Adjustment,,,Yes,No,,,Classified Programs,"Other Procurement, Air Force",Air Force,Procurement,
,"$ 7,500",,,Air National Guard modular small arms ranges,,,,Yes,,,Combat Training Ranges,"Other Procurement, Air Force",Air Force,Procurement,
,,"$ 4,000",,Combat training ranges,,,,No,,,Combat Training Ranges,"Other Procurement, Air Force",Air Force,Procurement,
,"$ 5,000",,"$ 5,000",Simplified planning execution and analysis,,,,Yes,,,Combat Training Ranges,"Other Procurement, Air Force",Air Force,Procurement,
,"$ 5,800",,,Agile arctic logistics readiness infrastructure,,,,Yes,,,Mobility Equipment,"Other Procurement, Air Force",Air Force,Procurement,
,,"$ 3,000",,Expeditionary airfield lighting systems,,,,No,,,Mobility Equipment,"Other Procurement, Air Force",Air Force,Procurement,
,,"$ 128,000","$ 127,386",Classified adjustment (emergency),,,,No,,Yes,Special Update Program,"Other Procurement, Air Force",Air Force,Procurement,
,"$ 2,300",,,Modern surveying equipment,23,"Carey (OH), Pettersen (CO), Turner (OH)",,No,,,,,Air Force,Procurement,"Procurement, Air Force"
,"$ 2,000",,,To integrate the RC-135 digital fleet maintenance management capability,7,"Bacon (NE), Luttrell (TX), Norcross (NJ)",,Yes,,,,,Air Force,Procurement,"Procurement, Air Force"
,"$ 7,800",,"$ 7,800",Apache improved tail rotor,,,,No,,,AH-64 Mods,"Aircraft Procurement, Army",Army,Procurement,
,"$ 10,000","$ 5,000","$ 5,000",Composite barrel for AH-64 Apache / Hybrid Composite Barrel,,,,No,,,AH-64 Mods,"Aircraft Procurement, Army",Army,Procurement,
,"$ 8,000",,,CH-47 air vehicle computer,,,,Yes,,,CH-47 Cargo Helicopter Mods,"Aircraft Procurement, Army",Army,Procurement,
,"$ 15,000",,"$ 15,000",Hybrid enhanced ballistic protection systems,,,,Yes,,,CH-47 Cargo Helicopter Mods,"Aircraft Procurement, Army",Army,Procurement,
,,"$ 8,100","$ 8,100",Lightweight ballistic protection systems,,,,Yes,,,CH-47 Cargo Helicopter Mods,"Aircraft Procurement, Army",Army,Procurement,
,"$ 240,000",,"$ 240,000",MQ-1C Gray Eagle 25M aircraft for the Army National Guard,,,,Yes,,,MQ-1 UAV,"Aircraft Procurement, Army",Army,Procurement,
,"$ 10,000",,,Aviation mission common server,,,,No,,,Network and Mission Plan,"Aircraft Procurement, Army",Army,Procurement,
,,"$ 1,500","$ 1,500",Aviation status dashboard,,,,Yes,,,Network and Mission Plan,"Aircraft Procurement, Army",Army,Procurement,
,,"$ 1,500","$ 1,500",Flight scheduling software,,,,No,,,Network and Mission Plan,"Aircraft Procurement, Army",Army,Procurement,
,"$ 60,000",,"$ 60,000",Additional UH-60M aircraft for the Army National Guard,,,,No,,,UH-60 Blackhawk M Model (MYP),"Aircraft Procurement, Army",Army,Procurement,
,"$ 12,000","$ 10,000","$ 10,000",UH-72 Lakota lifecycle sustainment and modernization / UH-72 lifecycle sustainment and analysis,,,,Yes,,,UH-72 Lakota Light Utility Helicopter,"Aircraft Procurement, Army",Army,Procurement,
,"$ 5,000","$ 5,000","$ 5,000",UH-60 thermoplastic tail rotor drive system / UH-60 thermoplastic tail rotor upgrades,,,,Yes,,,Utility Helicopter Mods,"Aircraft Procurement, Army",Army,Procurement,
,"$ 5,800",,,Long-Range Precision Aerial Delivery Systems (LRPADS),144,Peters (CA),,Yes,,,,"Aircraft Procurement, Army",Army,Procurement,"Procurement, Army"
,,,"$ 110,000",Program increase,,,Yes,No,,,Army Tactical MSL SYS (ATACMS) - SYS SUM,"Missile Procurement, Army",Army,Procurement,
,,"$ 184,837","$ 184,837",Additional interceptors and launchers,,,,No,,,Counter Small Unmanned Aerial System Intercep,"Missile Procurement, Army",Army,Procurement,
,,"$ 10,000",,Lethal unmanned system/low altitude stalk and strike ordnance (emergency),,,,No,,Yes,Family of Low Altitude Unmanned Systems,"Missile Procurement, Army",Army,Procurement,
,,"$ 167,000",,Accelerate PATRIOT air defense battalion (emergency),,,,No,Army,Yes,Patriot Mods,"Missile Procurement, Army",Army,Procurement,
,,"$ 114,000",,Precision Strike Missile (emergency),,,,No,Army & INDOPACOM,Yes,Precision Strike Missile (PRSM),"Missile Procurement, Army",Army,Procurement,
,,"$ 50,000",,Spares and repair parts,,,,No,,,Spares and Repair Parts,"Missile Procurement, Army",Army,Procurement,
,,"$ 91,000",,Stingers (emergency),,,,No,Army,Yes,Stinger Mods,"Missile Procurement, Army",Army,Procurement,
,"$ 10,000",,"$ 10,000",FOATC Type I,,,,No,,,All Terrain Cranes,"Other Procurement, Army",Army,Procurement,
,"$ 50,000",,"$ 90,000",Program increase,,,,Yes,,,ARNG HMMWV Modernization Program,"Other Procurement, Army",Army,Procurement,
,,"$ 10,000","$ 5,332",Type I All Terrain Cranes,,,,No,,,Construction Equipment,"Other Procurement, Army",Army,Procurement,
,,"$ 165,455",,Counter unmanned aerial systems (emergency),,,,No,,Yes,Counter Small Unmanned Aerial System (C-SUAS),"Other Procurement, Army",Army,Procurement,
,"$ 4,200",,,Squad level C-UAS,,,,No,,,Counter Small Unmanned Aerial System (C-SUAS),"Other Procurement, Army",Army,Procurement,
,,"$ 86,600","$ 86,600",Program increase,,,,No,,,Family of Heavy Tactical Vehicles (FHTV),"Other Procurement, Army",Army,Procurement,
,,"$ 5,000","$ 5,000",Combat casualty care,,,,Yes,,,Family of Med Comm for Combat Casualty Care,"Other Procurement, Army",Army,Procurement,
,,"$ 168,800","$ 120,000",Program increase,,,,No,,,Family of Medium Tactical Veh (FMTV),"Other Procurement, Army",Army,Procurement,
,,"$ 10,000","$ 11,000",Expeditionary shelter protection system,,,,Yes,,,Force Provider,"Other Procurement, Army",Army,Procurement,
,,"$ 1,650",,Rigid wall system and insulation packages for modular expeditionary camps,,,,No,,,Force Provider,"Other Procurement, Army",Army,Procurement,
,"$ 10,000","$ 12,200","$ 10,000",Infantry Squad Vehicle,,,,No,,,Ground Mobility Vehicles (GMV),"Other Procurement, Army",Army,Procurement,
,"$ 10,000","$ 10,000","$ 10,000",Tactical edge 3D map generation,,,,Yes,,,Ground Soldier System,"Other Procurement, Army",Army,Procurement,
,,"$ 100,000","$ 50,000",Army Reserve HMMWV modernization,,,,No,,,Hi Mob Multi-Purp Whld Veh (HMMWV),"Other Procurement, Army",Army,Procurement,
,,"$ 22,000","$ 22,000",Program increase,,,,No,,,Maneuver Support Vessel (MSV),"Other Procurement, Army",Army,Procurement,
,,"$ 120,000","$ 100,000",Next generation HMMWV shop equipment contact maintenance vehicle,,,,Yes,,,Mobile Maintenance Equipment Systems,"Other Procurement, Army",Army,Procurement,
,"$ 10,000",,,Land surveying systems,,,,Yes,,,Mod of IN-SVC Equipment (ENFIRE),"Other Procurement, Army",Army,Procurement,
,,"$ 7,000",,Prophet enhanced ESP kits,,,,Yes,,,Mod of IN-SVC Equipment (INTEL SPT),"Other Procurement, Army",Army,Procurement,
,"$ 90,000",,,High Mobility Multi-Wheeled Vehicles (HMMWV) so the National Guard can begin replacing its aging fleet,193,"Yakym (IN), Mrvan (IN), Houchin (IN)",,No,,,Modification of In Svc Equip,"Other Procurement, Army",Army,Procurement,"O&M, Defense-Wide"
,"$ 50,000","$ 50,000","$ 50,000",HMMWV ABS/ESC retrofit kits,,,,Yes,,,Modification of IN SVC Equip,"Other Procurement, Army",Army,Procurement,
,"$ 25,000",,,HMMWV Anti-Rollover Safety Upgrades,42,Fallon (TX),,No,,,Modification of In Svc Equip,"Other Procurement, Army",Army,Procurement,"Procurement, Army"
,"$ 10,000","$ 10,000","$ 10,000",Containerized kitchen life extension / Containerized kitchen life system,,,,No,,,Modification of IN-SVC Equipment (OPA-3),"Other Procurement, Army",Army,Procurement,
,,"$ 2,000",,Digital camera upgrades,,,,Yes,,,Night Vision Devices,"Other Procurement, Army",Army,Procurement,
,"$ 3,000",,,Wireless intrusion detection systems,,,,No,,,Physical Security Systems (OPA3),"Other Procurement, Army",Army,Procurement,
,,"$ 4,000",,Silent tactical energy enhanced dismount,,,,Yes,,,Robotics and Applique Systems,"Other Procurement, Army",Army,Procurement,
,"$ 5,000","$ 10,000","$ 5,000",Soldier borne sensor / Accelerate soldier borne sensor,,,,No,,,Robotics and Applique Systems,"Other Procurement, Army",Army,Procurement,
,"$ 10,000",,,Live training system - indirect fires,,,,No,,,Synthetic Training Environment (STE),"Other Procurement, Army",Army,Procurement,
,"$ 5,000",,,On-the-move satelite communications,,,,Yes,,,Tactical Network Technology Mod in SVC,"Other Procurement, Army",Army,Procurement,
,"$ 22,000",,"$ 22,000",JLTV explosively formed penetrator kits,,,,Yes,,,Tactical Wheeled Vehicle Protection Kits,"Other Procurement, Army",Army,Procurement,
,"$ 30,000",,"$ 30,000",Program increase,,,,No,,,"Truck, Dump, 20T (CCE)","Other Procurement, Army",Army,Procurement,
,,"$ 2,500","$ 2,500",M929 120mm mortars,,,,No,,,"120MM Mortar, All Types","Procurement of Ammunition, Army",Army,Procurement,
,"$ 3,000",,,Drone-agnostic munition for demining,,,,Yes,,,Close Terrain Shaping Obstacle,"Procurement of Ammunition, Army",Army,Procurement,
,"$ 10,000",,,Program increase,,,,No,,,"CTG, .50 Cal, All Types","Procurement of Ammunition, Army",Army,Procurement,
,,"$ 5,000","$ 5,000",30mm ammunition production capacity,,,,Yes,,,"CTG, 30mm, All Types","Procurement of Ammunition, Army",Army,Procurement,
,"$ 11,306",,,Program increase,,,,No,,,"CTG, 5.56MM, All Types","Procurement of Ammunition, Army",Army,Procurement,
,"$ 15,000",,,Program increase,,,,No,,,"CTG, 7.62MM, All Types","Procurement of Ammunition, Army",Army,Procurement,
,"$ 3,539",,,Program increase,,,,No,,,"CTG, Handgun, All Types","Procurement of Ammunition, Army",Army,Procurement,
,"$ 5,000",,,Small UAVs,,,,Yes,,,"Demolition Munitions, All Types","Procurement of Ammunition, Army",Army,Procurement,
,,"$ 960,507","$ 41,000",Army ammunition plants modernization (emergency) / Army ammunition plants modernization,,,,No,,Yes,Industrial Facilities,"Procurement of Ammunition, Army",Army,Procurement,
,,"$ 248,000","$ 248,000",Modular artillery production facility,,,,Yes,,,Industrial Facilities,"Procurement of Ammunition, Army",Army,Procurement,
,,"$ 16,297",,Small caliber primer production facility,,,,Yes,,,Industrial Facilities,"Procurement of Ammunition, Army",Army,Procurement,
,,"$ 3,300",,Industrial base facilitization (emergency),,,,No,,Yes,Abrams Upgrade Program,"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,,"$ 76,800",,Program increase,,,,No,,,Abrams Upgrade Program,"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,,"$ 196,500",,Industrial base facilitization (emergency),,,,No,,Yes,Base Support (WOCV-WTCV),"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,"$ 8,000",,"$ 8,000",M4 carbine upper receivers,,,,Yes,,,Carbine,"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,,"$ 10,000","$ 5,500",M240 medium machine gun,,,,No,,,M240 Medium Machine Gun (7.62mm),"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,,"$ 5,000","$ 5,000",MK93 mounts,,,,Yes,,,MK-19 Grenade Machine Gun MODS,"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,"$ 158,000",,"$ 158,000",Program increase,,,,No,,,Paladin Integrated Management (PIM),"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,"$ 10,000",,,Vehicle protection system,,,,Yes,,,Vehicle Protection Systems,"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,,"$ 43,300",,Castings and forgings (emergency),,,,No,,Yes,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,"$ 1,000",,,Commercial market analysis on domestic alternative investments to a foreign entity,,,,Yes,,,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,,"$ 56,700",,Critical chemical supply chain (emergency),,,,No,,Yes,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,,"$ 93,000",,Cruise missile motors (emergency),,,,Yes,,Yes,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,"$ 17,000",,"$ 17,000",Domestic black powder advanced manufacturing,,,,Yes,,,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,"$ 5,000",,,Domestic boron processing and production,,,,Yes,,,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,,"$ 87,600",,Energy storage and batteries (emergency),,,,No,,Yes,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,"$ 15,000","$ 60,000","$ 45,000",Expanding domestic solid rocket motors at scale / New domestic source of solid rocket motor production and modernization at scale (emergency),,,,No,,Yes,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,,"$ 8,000",,Heavy forging capacity improvement program,,,,Yes,,,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,,"$ 20,000",,Silicon carbide device manufacturing (emergency),,,,Yes,,Yes,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,,"$ 44,400",,Solid rocket motor major subcomponents (emergency),,,,No,,Yes,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,,"$ 8,000","$ 8,000",Solid rocket motor MVP cell,,,,Yes,,,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,,"$ 95,000",,Solid rocket motor steel cases (emergency),,,,No,,Yes,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,"$ 15,000",,,Titanium sponge production,,,,Yes,,,Defense Production Act Purchases,Defense Production Act Purchases,Defense-Wide,Procurement,
,,"$ 5,000",,Airborne mission networking upgrades,,,,No,,,AC/MC-130J,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,,"$ 472,000","$ 110,000",SM-3 Block IB continued production (emergency) / SM-3 BLK 1B,,,,No,,Yes,Aegis BMD,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,,"$ 7,000",,Sensors modeling and simulation,,,,No,,,BMDS Sensors,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,"$ 10,000",,,M53A1 respirator accelerated fielding,,,,Yes,,,CB Protection & Hazard Mitigation,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,,"$ 3,000",,Smallpox antiviral treatment,,,,No,,,CB Protection & Hazard Mitigation,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,,"$ 7,000",,Combatant craft assault,,,,No,,,Combatant Craft Systems,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,"$ 9,600",,,Tactical relay systems,,,,No,,,Defense Information System Network,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,"$ 300,000",,"$ 300,000",APFIT,,,,No,,,"Major Equipment, OSD","Procurement, Defense-Wide",Defense-Wide,Procurement,
,"$ 14,219","$ 14,000","$ 14,219",Indian Incentive Program / Indian Financing Act incentive payments,,,,No,,,"Major Equipment, OSD","Procurement, Defense-Wide",Defense-Wide,Procurement,
,,"$ 22,773","$ 22,773",MH-60M overseas aircraft loss,,,,No,,,MH-60 Blackhawk,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,,"$ 10,745",,Loitering munition accelerated fielding and reliability testing acceleration (emergency),,,,No,,Yes,Operational Enhancements,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,"$ 14,500",,"$ 14,500",Maritime precision strike munition,,,,Yes,INDOPACOM,,Operational Enhancements,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,,"$ 9,000","$ 4,500",A/MH-6 little bird mission configurable aircraft system,,,,No,,,Rotary Wing Upgrades and Sustainment,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,,"$ 5,000","$ 5,000",GMV 1.1,,,,No,,,Tactical Vehicles,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,"$ 7,000",,,Deep submergence collective propulsion,,,,Yes,,,Underwater Systems,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,"$ 12,423",,,Blast exposure monitoring systems,,,,Yes,,,Warrior Systems <$5M,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,"$ 44,500","$ 44,500","$ 44,500",Counter unmanned systems (CUxS) & group 3 defeat acceleration / Counter unmanned systems and Group 3 defeat acceleration (emergency),,,,Yes,,Yes,Warrior Systems <$5M,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,,"$ 10,000","$ 5,000",Satellite deployable node,,,,No,,,Warrior Systems <$5M,"Procurement, Defense-Wide",Defense-Wide,Procurement,
,"$ 5,000",,,Ground Mobility Vehicle (GMV) 1.1 vehicles,137,Obernolte (CA),,No,,,,,Defense-Wide,Procurement,"RDT&E, Navy"
,$ 800,,,Guam Missile Defense System,131,Moylan (GU),,Yes,INDOPACOM,,,,Defense-Wide,Procurement,"Procurement, Defense-Wide"
,"$ 5,000",,,To support additional GMV 1.1 vehicles to address the ground mobility capabilities gap,73,Joyce (PA),,No,,,,,Defense-Wide,Procurement,"O&M, Defense-Wide"
,,"$ 54,250","$ 131,750",Miscellaneous equipment,,,,Yes,,,Air Force Reserve,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 100,750",,Miscellaneous equipment (emergency),,,,Yes,,Yes,Air Force Reserve,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 105,000","$ 255,000",Miscellaneous equipment,,,,Yes,,,Air National Guard,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 195,000",,Miscellaneous equipment (emergency),,,,Yes,,Yes,Air National Guard,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 108,500","$ 263,500",Miscellaneous equipment,,,,Yes,,,Army National Guard,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 201,500",,Miscellaneous equipment (emergency),,,,Yes,,Yes,Army National Guard,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 54,250","$ 131,750",Miscellaneous equipment,,,,Yes,,,Army Reserve,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 100,750",,Miscellaneous equipment (emergency),,,,Yes,,Yes,Army Reserve,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 8,050","$ 19,550",Miscellaneous equipment,,,,Yes,,,Marine Corps Reserve,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 14,950",,Miscellaneous equipment (emergency),,,,Yes,,Yes,Marine Corps Reserve,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 19,950","$ 48,450",Miscellaneous equipment,,,,Yes,,,Navy Reserve,,National Guard and Reserve Equipment Fund,Procurement,
,,"$ 37,050",,Miscellaneous equipment (emergency),,,,Yes,,Yes,Navy Reserve,,National Guard and Reserve Equipment Fund,Procurement,
,"$ 800,000",,,National Guard and Reserve Equipment Fund,,,,Yes,,,,,National Guard and Reserve Equipment Fund,Procurement,
,"$ 125,000",,"$ 125,000",One additional CH-53K,,,,No,Marine Corps,,CH-53K (Heavy Lift),"Aircraft Procurement, Navy",Navy,Procurement,
,"$ 768,590",,"$ 524,000",Six additional F-35Cs / Four additional F-35Cs,,,,No,National Guard Bureau,,Joint Strike Fighter CV,"Aircraft Procurement, Navy",Navy,Procurement,
,"$ 261,000","$ 124,800","$ 261,000",Two additional KC-130Js for the Navy Reserve / Additional Aircraft (emergency),,,,No,Navy,Yes,KC-130J,"Aircraft Procurement, Navy",Navy,Procurement,
,,"$ 9,000",,One additional aircraft,,,,No,,,Multi-Engine Training System (METS),"Aircraft Procurement, Navy",Navy,Procurement,
,,"$ 47,500","$ 31,350",U.S. Marine Corps F-35 Spares and Repair Parts,,,,No,Marine Corps,,Spares and Repair Parts,"Aircraft Procurement, Navy",Navy,Procurement,
,"$ 20,000",,,Nacelle improvements,,,,Yes,,,V-22 (Medium Lift),"Aircraft Procurement, Navy",Navy,Procurement,
,"$ 60,000",,,CMV-22 nacelle improvement,,,,No,,,V-22 (Tilt/Rotor ACFT) Osprey,"Aircraft Procurement, Navy",Navy,Procurement,
,,"$ 30,000",,Classified adjustment (emergency),,,,Yes,,Yes,CG Modernization,"Other Procurement, Navy",Navy,Procurement,
,"$ 10,000",,,Advanced damage control system improvement,,,,Yes,Navy,,DDG Mod,"Other Procurement, Navy",Navy,Procurement,
,"$ 1,000",,,Centrifuge testing final review for surface combat ships,,,,Yes,,,Items Less Than $5 Million,"Other Procurement, Navy",Navy,Procurement,
,"$ 10,000",,,Fleet hospital program,,,,No,,,Medical Support Equipment,"Other Procurement, Navy",Navy,Procurement,
,,"$ 17,500",,INDOPACOM mission network (emergency),,,,No,INDOPACOM,Yes,Operating Forces IPE,"Other Procurement, Navy",Navy,Procurement,
,"$ 10,000",,,Public shipyards industrial wastewater treatment systems,,,,Yes,,,Operating Forces IPE,"Other Procurement, Navy",Navy,Procurement,
,,"$ 550,000",,SIOP (emergency),,,,No,,Yes,Operating Forces IPE,"Other Procurement, Navy",Navy,Procurement,
,"$ 10,000",,,Submarine stability cradles,,,,Yes,,,Operating Forces IPE,"Other Procurement, Navy",Navy,Procurement,
,,"$ 2,500",,Next generation waterborne security barrier,,,,No,,,Physical Security Equipment,"Other Procurement, Navy",Navy,Procurement,
,"$ 7,000",,,Multi-band multi-orbit COTM satellite terminals,,,,Yes,,,Satellite Communications Systems,"Other Procurement, Navy",Navy,Procurement,
,,"$ 5,500",,Deep seabed scanning and over-the-horizon sensors,,,,Yes,,,Small and Medium UUV,"Other Procurement, Navy",Navy,Procurement,
,"$ 30,000",,"$ 30,000",Sonobuoys – all types,,,,No,,,Sonobuoys – All Types,"Other Procurement, Navy",Navy,Procurement,
,,"$ 150,000",,Spares and repair parts,,,,No,,,Spares and Repair Parts,"Other Procurement, Navy",Navy,Procurement,
,,,"$ 46,529",Classified adjustment,,,Yes,No,,,Special Purpose Supply Systems,"Other Procurement, Navy",Navy,Procurement,
,"$ 19,440","$ 40,000","$ 19,440",40-foot patrol boats,60,Higgins (LA),,No,,,Standard Boats,"Other Procurement, Navy",Navy,Procurement,"Procurement, Navy"
,,"$ 2,500","$ 2,500",Mark VI patrol boats,,,,Yes,,,Standard Boats,"Other Procurement, Navy",Navy,Procurement,
,,,"$ 3,000",30mm CUAS rounds,,,Yes,No,,,Other Ship Gun Ammunition,"Procurement of Ammunition, Navy and Marine Corps",Navy,Procurement,
,,"$ 240,900",,Additional vehicles (emergency),,,,No,Marine Corps,Yes,Amphibious Combat Vehicle Family of Vehicles,"Procurement, Marine Corps",Navy,Procurement,
